deveui,train_coverage,val_coverage,test_coverage,train_n_obs,train_std,train_mean,has_floor,rank
A81758FFFE030D49,0.7952943615257048,0.8274253731343284,0.6733519900497512,15345,48.193987279303265,281.18331704138154,True,1
A81758FFFE030D4A,0.8161795190713101,0.8568097014925373,0.8919465174129353,15749,36.20005108459181,412.083814845387,True,2
A81758FFFE030D4B,0.8107898009950248,0.8406405472636815,0.8869713930348259,15645,33.56861332088796,394.8564397571109,True,3
A81758FFFE030D4C,0.6292495854063018,0.560478855721393,0.6616915422885572,12141,66.45058561966324,415.8354336545589,True,4
A81758FFFE030D4D,0.7553897180762852,0.8435945273631841,0.8667599502487562,14575,94.81398295352025,417.0454202401372,True,5
A81758FFFE030D4E,0.7901637645107794,0.7960199004975125,0.8658271144278606,15247,47.31480925620843,407.82737587722175,True,6
A81758FFFE030D4F,0.7660655058043118,0.8687810945273632,0.8815298507462687,13579,50.545017220448294,242.54937771559025,True,7
A81758FFFE030D50,0.7648217247097844,0.806747512437811,0.869247512437811,14757,31.419878281131222,299.66646337331434,True,8
A81758FFFE030D51,0.8108934494195689,0.8101679104477612,0.8681592039800995,15646,41.60936616685898,294.4907963696792,True,9
A81758FFFE030D52,0.7209784411276948,0.7857587064676617,0.8170087064676617,13886,39.397216663999494,267.54659369148783,True,10
A81758FFFE030F43,0.7947242951907131,0.8160758706467661,0.869092039800995,15335,38.91066670146707,412.9242908379524,True,11
A81758FFFE030F44,0.7995957711442786,0.7994402985074627,0.8905472636815921,15429,43.26333791780494,424.7358869661028,True,12
A81758FFFE030F45,0.7972636815920398,0.8013059701492538,0.8725124378109452,15383,24.73213536871129,435.583306247156,True,13
A81758FFFE030F46,0.7877798507462687,0.8154539800995025,0.8704912935323383,15201,42.71727909777477,407.2295243733965,True,14
A81758FFFE030F47,0.7515029021558872,0.8247823383084577,0.8518345771144279,14500,91.57315716118306,517.3912413793104,True,15
A81758FFFE030F48,0.7835302653399668,0.8297574626865671,0.7513992537313433,15118,41.43023935062724,455.78985315517923,True,16
A81758FFFE030F49,0.7566334991708126,0.8617848258706468,0.6853233830845771,14599,92.19763682710054,530.7551887115555,True,17
A81758FFFE030F4B,0.8230203150912107,0.8666044776119403,0.8919465174129353,15881,33.447940840364,388.61771928719855,True,18
A81758FFFE030F4C,0.80462271973466,0.8348880597014925,0.8832400497512438,15525,43.08969761164544,517.2915942028985,True,19
A81758FFFE030F4D,0.7013370646766169,0.6385261194029851,0.6940298507462687,13532,57.06338827039614,445.3757020396098,True,20
A81758FFFE030F4E,0.6482690713101161,0.6494092039800995,0.7624378109452736,12508,62.4485698026356,469.3767988487368,True,21
A81758FFFE030F4F,0.7978855721393034,0.8252487562189055,0.8773320895522388,15396,52.11764085437138,419.81683554169916,True,22
A81758FFFE030F51,0.7876762023217247,0.8255597014925373,0.6689987562189055,15198,88.64315882208501,510.5717857612844,True,23
A81758FFFE030F53,0.7760675787728026,0.8308457711442786,0.8683146766169154,14974,70.49311512299441,490.1229464404969,True,24
A81758FFFE030F54,0.746268656716418,0.7705223880597015,0.8095460199004975,14399,60.95957586678823,549.5814292659212,True,25
A81758FFFE030F58,0.8090277777777778,0.8580534825870647,0.8784203980099502,15611,41.174236463684025,421.2721158157709,True,26
A81758FFFE030F59,0.7846703980099502,0.769589552238806,0.8557213930348259,15140,53.549841531449836,530.5786657859974,True,27
A81758FFFE030F5A,0.804674543946932,0.8501243781094527,0.8680037313432836,15526,31.458825961254142,417.1310704624501,True,28
A81758FFFE030F5B,0.7728544776119403,0.8586753731343284,0.8910136815920398,14913,58.80506835031102,495.30510293032927,True,29
A81758FFFE030F5D,0.6026637645107794,0.7231032338308457,0.6108519900497512,11629,61.12823768668543,504.0926132943503,True,30
A81758FFFE030F5E,0.7412417081260365,0.800839552238806,0.8572761194029851,14302,45.522065039568616,480.47350020976086,True,31
A81758FFFE030F5F,0.685582504145937,0.8112562189054726,0.7786069651741293,13228,128.74074777455422,540.3865285757485,True,32
A81758FFFE030F61,0.7406198175787728,0.8232276119402985,0.8258706467661692,14290,50.62068355408642,496.8405178446466,True,33
A81758FFFE030F63,0.7338308457711443,0.7894900497512438,0.8132773631840796,14159,53.696466584759946,360.55533582880145,True,34
A81758FFFE030F64,0.8127591210613598,0.8226057213930348,0.8905472636815921,15683,42.24318630336663,369.7202703564369,True,35
A81758FFFE030F65,0.7939987562189055,0.8600746268656716,0.7629042288557214,15320,49.900296621834215,546.128590078329,True,36
A81758FFFE030F66,0.7877798507462687,0.8392412935323383,0.8459266169154229,15200,89.40281650109225,530.6686184210527,True,37
A81758FFFE030F67,0.6871372305140961,0.7080223880597015,0.8002176616915423,13259,54.73187749834053,492.4723583980692,True,38
A81758FFFE030F68,0.8095978441127695,0.830068407960199,0.8722014925373134,15621,24.791417023304923,463.61839830996735,True,39
A81758FFFE030F69,0.7955534825870647,0.8397077114427861,0.878886815920398,15351,49.5176735224005,431.7823594554101,True,40
