delta_ppm,aoi_threshold,co2_ppm,disagreement_ppm,transmission_reduction_pct,mae_skipped,event_recall,n_true_events,score
35.0,2.5,900.0,20.0,68.7939961603351,7.318097251585623,1.0,8,106.22135316270534
35.0,2.5,900.0,35.0,73.08162196753739,9.142931061932813,1.0,8,104.55600889898513
35.0,2.5,1000.0,20.0,68.79981383442899,7.319085066801962,1.0,8,106.2213258584043
35.0,2.5,1000.0,35.0,73.09034847867822,9.144704899112508,1.0,8,104.55552977100079
35.0,3.5,900.0,20.0,72.9274536040491,7.415699413665191,1.0,8,107.10831428051449
35.0,3.5,900.0,35.0,77.71539938332654,9.324437623984728,1.0,8,105.44219340985454
35.0,3.5,1000.0,20.0,72.933271278143,7.416623459498265,1.0,8,107.10838263028836
35.0,3.5,1000.0,35.0,77.72412589446739,9.326085329341318,1.0,8,105.44190347960486
45.0,2.5,900.0,20.0,68.8056315085229,7.3214255517037286,1.0,8,106.21926954957513
45.0,2.5,900.0,35.0,73.16888707894584,9.135604675200764,1.0,8,104.5888147569353
45.0,2.5,1000.0,20.0,68.8114491826168,7.322412918498478,1.0,8,106.21924291790648
45.0,2.5,1000.0,35.0,73.17761359008668,9.137377270739755,1.0,8,104.58833749141203
45.0,3.5,900.0,20.0,72.93618011518994,7.419358698253171,1.0,8,107.10500698141773
45.0,3.5,900.0,35.0,77.79975565768805,9.33145143198983,1.0,8,105.45276176643728
45.0,3.5,1000.0,20.0,72.94199778928385,7.420282341681289,1.0,8,107.10507593479903
45.0,3.5,1000.0,35.0,77.8084821688289,9.333096564357547,1.0,8,105.45247569567091
