figure,method,metric,value,extra,source
fig01,other,n_sensors,349,metadata,devices + final_cohort.json + heldout_cohort.json
fig01,rl_development,n_sensors,40,metadata,devices + final_cohort.json + heldout_cohort.json
fig01,heldout,n_sensors,40,metadata,devices + final_cohort.json + heldout_cohort.json
fig02,Fixed 15,interval_tx,192,sensor=A81758FFFE030F69; start=3472,frozen KL-CMAPPO seed_123 val rollout + FixedInterval(1)
fig02,KL-CMAPPO,interval_tx,55,sensor=A81758FFFE030F69,frozen KL-CMAPPO seed_123 val rollout + FixedInterval(1)
fig02,KL-CMAPPO,reduction_vs_fixed15_pct,71.35,,frozen KL-CMAPPO seed_123 val rollout + FixedInterval(1)
fig04,Fixed 60,mae_ppm,11.3353,tx↓=75.268; n=1; std=0.0000,outputs/rl_final/paper_final/full_val_summary.csv
fig04,Delta + heartbeat,mae_ppm,10.5971,tx↓=79.606; n=1; std=0.0000,outputs/rl_final/paper_final/full_val_summary.csv
fig04,KL-CMAPPO,mae_ppm,8.7424,tx↓=77.790; n=5; std=0.1383,outputs/rl_final/paper_final/full_val_summary.csv
fig05,Fixed 60,event_recall_pct,26.4706,tx↓=75.139; n=1; frozen_seed=123,outputs/rl_final/paper_final/full_test_summary.csv
fig05,Delta + heartbeat,event_recall_pct,90.1961,tx↓=79.621; n=1; frozen_seed=123,outputs/rl_final/paper_final/full_test_summary.csv
fig05,KL-CMAPPO,event_recall_pct,96.0784,tx↓=77.462; n=1; frozen_seed=123,outputs/rl_final/paper_final/full_test_summary.csv
fig06,KL-CMAPPO,val_mae_mean,9.0964,step=8192; std=0.0698,outputs/rl_final/cmappo_kl/seed_*/metrics.json (val rows)
fig06,KL-CMAPPO,val_mae_mean,9.0603,step=16384; std=0.0845,outputs/rl_final/cmappo_kl/seed_*/metrics.json (val rows)
fig06,KL-CMAPPO,val_mae_mean,9.0746,step=24576; std=0.0778,outputs/rl_final/cmappo_kl/seed_*/metrics.json (val rows)
fig06,KL-CMAPPO,val_mae_mean,9.0304,step=32768; std=0.0446,outputs/rl_final/cmappo_kl/seed_*/metrics.json (val rows)
fig06,KL-CMAPPO,val_mae_mean,8.9968,step=40960; std=0.0972,outputs/rl_final/cmappo_kl/seed_*/metrics.json (val rows)
fig06,KL-CMAPPO,val_mae_mean,8.9425,step=48128; std=0.1150,outputs/rl_final/cmappo_kl/seed_*/metrics.json (val rows)
fig06,KL-CMAPPO,val_mae_mean,8.7639,step=56320; std=0.1550,outputs/rl_final/cmappo_kl/seed_*/metrics.json (val rows)
fig06,KL-CMAPPO,val_mae_mean,8.8145,step=60000; std=0.0978,outputs/rl_final/cmappo_kl/seed_*/metrics.json (val rows)
fig07,BC initialization only,mae_ppm,9.1656,tx↓=79.561; seed=42,outputs/rl_final/scientific_validation/ablation_kl_cmappo_val.csv
fig07,RL fine-tune no KL / no constr.,mae_ppm,9.564,tx↓=81.245; seed=42,outputs/rl_final/scientific_validation/ablation_kl_cmappo_val.csv
fig07,+ KL only,mae_ppm,9.3556,tx↓=80.626; seed=42,outputs/rl_final/scientific_validation/ablation_kl_cmappo_val.csv
fig07,+ constraints only,mae_ppm,7.5947,tx↓=73.228; seed=42,outputs/rl_final/scientific_validation/ablation_kl_cmappo_val.csv
fig07,Full KL-CMAPPO,mae_ppm,8.9228,tx↓=78.647; seed=42,outputs/rl_final/scientific_validation/ablation_kl_cmappo_val.csv
fig08,KL-CMAPPO development,mae_ppm,8.454,frozen TEST; n=1; seed=123,paper_final/full_test_summary.csv
fig08,KL-CMAPPO heldout,mae_ppm,8.4951,held-out TEST; n=5; std=0.1163,scientific_validation/heldout_transfer_summary.csv
fig09,KL-CMAPPO,mae_loss_0,8.7424,std=0.1237,outputs/rl_final/scientific_validation/robustness_summary.csv
fig09,KL-CMAPPO,mae_loss_10,9.0014,std=0.1183,outputs/rl_final/scientific_validation/robustness_summary.csv
fig09,KL-CMAPPO,mae_loss_20,9.254,std=0.1142,outputs/rl_final/scientific_validation/robustness_summary.csv
fig09,KL-CMAPPO,mae_loss_40,9.9884,std=0.1174,outputs/rl_final/scientific_validation/robustness_summary.csv
fig10,Fixed 15,cum_tx_end,24424,val rollouts start=3552 length=672; KL seed_123,val rollouts start=3552 length=672; KL seed_123
fig10,Fixed 60,cum_tx_end,6021,val rollouts start=3552 length=672; KL seed_123,val rollouts start=3552 length=672; KL seed_123
fig10,KL-CMAPPO,cum_tx_end,5606,val rollouts start=3552 length=672; KL seed_123,val rollouts start=3552 length=672; KL seed_123
figS01,BC initialization,mae_at_75,7.967,std=0.0195,matched_budget_summary.csv
figS01,BC initialization,mae_at_78,8.9233,std=0.0073,matched_budget_summary.csv
figS01,BC initialization,mae_at_80,9.2549,std=0.0098,matched_budget_summary.csv
figS01,KL-CMAPPO,mae_at_75,7.9356,std=0.0161,matched_budget_summary.csv
figS01,KL-CMAPPO,mae_at_78,8.7867,std=0.0651,matched_budget_summary.csv
figS01,KL-CMAPPO,mae_at_80,9.1743,std=0.0369,matched_budget_summary.csv
figS02,KL-CMAPPO,val_recall_pct_mean,99.2736,step=8192,cmappo_kl metrics.json val_recall
figS02,KL-CMAPPO,val_recall_pct_mean,99.2494,step=16384,cmappo_kl metrics.json val_recall
figS02,KL-CMAPPO,val_recall_pct_mean,99.2252,step=24576,cmappo_kl metrics.json val_recall
figS02,KL-CMAPPO,val_recall_pct_mean,99.2736,step=32768,cmappo_kl metrics.json val_recall
figS02,KL-CMAPPO,val_recall_pct_mean,99.2736,step=40960,cmappo_kl metrics.json val_recall
figS02,KL-CMAPPO,val_recall_pct_mean,99.2978,step=48128,cmappo_kl metrics.json val_recall
figS02,KL-CMAPPO,val_recall_pct_mean,99.4431,step=56320,cmappo_kl metrics.json val_recall
figS02,KL-CMAPPO,val_recall_pct_mean,99.3705,step=60000,cmappo_kl metrics.json val_recall
figS03,KL-CMAPPO,val_tx_reduction_mean,79.2139,step=8192,cmappo_kl metrics.json val_tx_reduction
figS03,KL-CMAPPO,val_tx_reduction_mean,78.9389,step=16384,cmappo_kl metrics.json val_tx_reduction
figS03,KL-CMAPPO,val_tx_reduction_mean,79.2429,step=24576,cmappo_kl metrics.json val_tx_reduction
figS03,KL-CMAPPO,val_tx_reduction_mean,79.1322,step=32768,cmappo_kl metrics.json val_tx_reduction
figS03,KL-CMAPPO,val_tx_reduction_mean,79.098,step=40960,cmappo_kl metrics.json val_tx_reduction
figS03,KL-CMAPPO,val_tx_reduction_mean,78.8817,step=48128,cmappo_kl metrics.json val_tx_reduction
figS03,KL-CMAPPO,val_tx_reduction_mean,77.972,step=56320,cmappo_kl metrics.json val_tx_reduction
figS03,KL-CMAPPO,val_tx_reduction_mean,78.2618,step=60000,cmappo_kl metrics.json val_tx_reduction
figS04,KL-CMAPPO,n_feasible,1,step=8192,metrics.json feasible
figS04,KL-CMAPPO,n_feasible,3,step=16384,metrics.json feasible
figS04,KL-CMAPPO,n_feasible,1,step=24576,metrics.json feasible
figS04,KL-CMAPPO,n_feasible,3,step=32768,metrics.json feasible
figS04,KL-CMAPPO,n_feasible,4,step=40960,metrics.json feasible
figS04,KL-CMAPPO,n_feasible,4,step=48128,metrics.json feasible
figS04,KL-CMAPPO,n_feasible,5,step=56320,metrics.json feasible
figS04,KL-CMAPPO,n_feasible,5,step=60000,metrics.json feasible
figS05,KL-CMAPPO,beta_start,0.08,,"metrics.json kl_beta (coefficient, NOT D_KL)"
figS05,KL-CMAPPO,beta_end,0.0256,,"metrics.json kl_beta (coefficient, NOT D_KL)"
