Method,Transmission_Reduction_pct,CO2_MAE_skips,Event_Recall_pct,Event_F1,Mean_AoI,Max_AoI
Fixed 15 min,0.0,0.0,100.0,1.0,0.01,8.0
Fixed 30 min,50.2,10.66,55.0,0.667,0.72,8.0
Fixed 45 min,66.6,12.14,30.0,0.32,1.41,8.0
Fixed 60 min,75.3,13.51,30.0,0.235,2.17,8.0
Change threshold,58.7,10.58,100.0,0.92,1.42,8.0
Uncertainty heuristic,99.9,24.5,0.0,---,7.94,8.0
AoI threshold,80.0,12.7,27.5,0.275,2.0,8.0
CO2 threshold,100.0,71.95,5.0,0.001,8.0,8.0
Info-value heuristic,99.6,30.26,50.0,0.04,7.85,8.0
Random (matched 30min),50.9,11.95,55.0,0.595,1.0,8.0
Random (matched 45min),67.1,13.85,30.0,0.233,1.9,8.0
Random (matched 60min),75.9,14.87,32.5,0.206,2.76,8.0
Semantic + safety shield (proxy),88.3,13.77,67.5,0.406,3.88,8.0
