condition,level,transmit_rate,mean_reward
packet_loss,0.0,0.6171428571428571,-0.1808406871322461
packet_loss,0.1,0.60062893081761,-0.1888388686302524
packet_loss,0.2,0.5888888888888889,-0.2119136407692572
missingness,0.1,0.6095238095238096,-0.2058977532062534
missingness,0.2,0.6097560975609756,-0.2321235206420109
missingness,0.4,0.6171171171171171,-0.308866969348355
missingness,0.6,0.6153846153846154,-0.4248746133842074
event_threshold,800.0,0.6171428571428571,-0.2213756665561144
event_threshold,1000.0,0.6171428571428571,-0.1808406871322461
event_threshold,1200.0,0.6171428571428571,-0.1808406871322461
event_threshold,1500.0,0.6171428571428571,-0.1808406871322461
