method,seed,target_tx_reduction,transmission_reduction_pct,prob_threshold,mae_skipped,event_recall,event_precision,mean_aoi_raw,matched_ok
campus_senserl_bc,42,75.0,75.0,0.2996571828358209,7.910034370435975,0.9975786924939468,0.993968636911942,1.7080921166669956,True
campus_senserl_bc,42,78.0,78.0,0.4286426188490411,8.877034605617267,0.9932532053547448,0.977052182570416,1.9277004263452848,True
campus_senserl_bc,42,80.0,80.0,0.5102156334231808,9.213824238469112,0.9915254237288136,0.9701274509641094,2.1607436163529004,True
campus_senserl_bc,123,75.0,75.0,0.2959085051546391,7.912087884257865,0.9975786924939468,0.9952675519966988,1.7128777159842707,True
campus_senserl_bc,123,78.0,78.0,0.4227162629757783,8.860393817062452,0.9933967006543396,0.9824968972300574,1.9293449790940176,True
campus_senserl_bc,123,80.0,80.0,0.5033986175115205,9.167527028307772,0.9927360774818402,0.9754098413558971,2.163925420289252,True
campus_senserl_bc,2024,75.0,75.0,0.2864545761947701,7.957189933626449,0.9975786924939468,0.994946631568316,1.7130994374072053,True
campus_senserl_bc,2024,78.0,78.0,0.4099797719749909,8.880567591460036,0.9937050902669494,0.9832364170431764,1.9299556729715035,True
campus_senserl_bc,2024,80.0,80.0,0.4925162689804772,9.196552665376062,0.9927360774818402,0.977528557392623,2.168458694346224,True
campus_senserl_bc,3407,75.0,75.0,0.2888722826086956,7.949036247070871,0.9985199099905252,0.9947777199438876,1.7121076462599636,True
campus_senserl_bc,3407,78.0,78.0,0.415275783906309,8.876761290295367,0.9935768575325348,0.983433034666964,1.9298695655200533,True
campus_senserl_bc,3407,80.0,80.0,0.4976565740356696,9.2013372581201,0.9938899896860938,0.976326655019571,2.1676594153513333,True
campus_senserl_bc,9999,75.0,75.0,0.2927220825476638,7.948251177679072,0.9975786924939468,0.9953442395241728,1.711242692578306,True
campus_senserl_bc,9999,78.0,78.0,0.4193890865954923,8.874128202843474,0.993477261825775,0.9807740134964104,1.928287150964532,True
campus_senserl_bc,9999,80.0,80.0,0.5022080185938411,9.22112768955502,0.9927360774818402,0.975483772347014,2.164392874396976,True
cmappo_kl,42,75.0,75.0,0.3543107921134555,7.85417938553628,0.99868496871396,0.995174407115014,1.7268112285910175,True
cmappo_kl,42,78.0,78.0,0.4766010763538514,8.761031702782025,0.9944357571655796,0.9828895695581464,1.9511227007144536,True
cmappo_kl,42,80.0,80.0,0.5525116822429906,9.13667977602217,0.9927360774818402,0.9746827657344024,2.181036037476185,True
cmappo_kl,123,75.0,75.0,0.4197461970899471,7.920699468308629,0.9983112300946744,0.9949223494475012,1.7292261429761309,True
cmappo_kl,123,78.0,78.0,0.5380275229357798,8.662744350347264,0.9957371659595264,0.987039804118683,1.9634405738260348,True
cmappo_kl,123,80.0,80.0,0.6234827264239027,9.10068146956471,0.9927360774818402,0.9804615184132646,2.18655834956177,True
cmappo_kl,2024,75.0,75.0,0.3682774716865626,7.932909015676868,0.9975786924939468,0.9958212740547008,1.7392902962706895,True
cmappo_kl,2024,78.0,78.0,0.4772144903806795,8.611706749271008,0.9956018529989822,0.9872354508729404,1.985264444193098,True
cmappo_kl,2024,80.0,80.0,0.5667510354348825,9.061124420981324,0.9927360774818402,0.9804717193646874,2.206304875150657,True
cmappo_kl,3407,75.0,75.0,0.405500371333086,7.893639888539412,0.9987893462469734,0.9951749095295536,1.7326843913304495,True
cmappo_kl,3407,78.0,78.0,0.5323122605363984,8.745537171625942,0.9948032803614336,0.9895869402058766,1.9631432810780636,True
cmappo_kl,3407,80.0,80.0,0.6161364802462799,9.154660469371237,0.9931267912892562,0.9820839319756872,2.190818399908281,True
cmappo_kl,9999,75.0,75.0,0.396952616349168,7.916953532163117,0.9987155597178976,0.9952478956443592,1.7167095212494248,True
cmappo_kl,9999,78.0,78.0,0.5306717970049917,8.801848058002532,0.9932040727117436,0.9821717779510888,1.9406367107728244,True
cmappo_kl,9999,80.0,80.0,0.6153169014084505,9.18737837583754,0.9927360774818402,0.9738274828958337,2.172358990672381,True
