figure,quantity,value,note
fig01,n_co2_total,299,
fig01,n_rl_agents,40,
fig01,n_heldout,40,
fig02,floor_-1,"all=4, rl=0, heldout=2",
fig02,floor_1,"all=204, rl=29, heldout=26",
fig02,floor_2,"all=49, rl=5, heldout=8",
fig02,floor_3,"all=23, rl=5, heldout=2",
fig02,floor_4,"all=16, rl=1, heldout=2",
fig02,floor_5,"all=3, rl=0, heldout=0",
fig03,n_edges,23,
fig03,mean_degree,1.15,
fig05,fixed15_tx,187,
fig05,kl_tx,63,
fig05,reduction_pct,66.31,
fig06,tx_share_pct,23.83,
fig07,pearson_r,0.858,"per-agent TX rate vs local CO2 std, 14-day validation window"
fig07,tx_rate_range_pct,20.3-32.9,
fig08,peak_hour,9,
fig08,peak_rate_pct,29.78,
fig08,min_rate_pct,18.92,
fig09,cum_tx_Fixed 15,24424,
fig09,cum_tx_Fixed 60,6021,
fig09,cum_tx_KL-CMAPPO,5606,
fig10,mae_Fixed 60,11.335,tx_reduction=75.27%
fig10,mae_KL-CMAPPO,8.742,tx_reduction=77.79%
fig11,detected_Fixed 60,27/102,
fig11,detected_KL-CMAPPO,98/102,
fig12,heldout_mae,8.495±0.116,
fig12,heldout_recall_pct,99.64,
fig13,mae_loss_0pct,8.742,
fig13,mae_loss_10pct,9.001,
fig13,mae_loss_20pct,9.254,
fig13,mae_loss_40pct,9.988,
fig14,final_mean_val_mae,8.815,
fig14,n_feasible_final,5,
fig15,budget_75pct,"bc=7.967, kl=7.936",
fig15,budget_78pct,"bc=8.923, kl=8.787",
fig15,budget_80pct,"bc=9.255, kl=9.174",
