step,metric,mean,sd,n_runs,constraint_value,normalized_mean,normalized_sd,plot_mean,plot_sd,smoothing
1024,aoi,1.830070024155225,0.033007690472722395,5,3.5,0.5228771497586356,0.009430768706492114,0.5228771497586356,0.009430768706492114,none
2048,aoi,1.7133432809189615,0.03824280787672273,5,3.5,0.48952665169113174,0.01092651653620647,0.48952665169113174,0.01092651653620647,none
3072,aoi,1.7734542700563694,0.03132036125377356,5,3.5,0.5067012200161055,0.008948674643935294,0.5067012200161055,0.008948674643935294,none
4096,aoi,1.5973161538037774,0.02565859701883433,5,3.5,0.45637604394393644,0.00733102771966694,0.45637604394393644,0.00733102771966694,none
5120,aoi,1.449151622728796,0.01540008966501068,5,3.5,0.414043320779656,0.004400025618574478,0.414043320779656,0.004400025618574478,none
6144,aoi,1.6027342666876216,0.044735477036013306,5,3.5,0.4579240761964633,0.012781564867432378,0.4579240761964633,0.012781564867432378,none
7168,aoi,1.8039863472342899,0.05011651486589737,5,3.5,0.5154246706383685,0.014319004247399257,0.5154246706383685,0.014319004247399257,none
8192,aoi,1.7497029931512007,0.039976544367348724,5,3.5,0.49991514090034306,0.011421869819242503,0.49991514090034306,0.011421869819242503,none
9216,aoi,0.8990921663853051,0.02158625756745466,5,3.5,0.2568834761100872,0.006167502162129895,0.2568834761100872,0.006167502162129895,none
10240,aoi,1.7428972497125248,0.02026818129530366,5,3.5,0.49797064277500713,0.005790908941515328,0.49797064277500713,0.005790908941515328,none
11264,aoi,1.840546378282098,0.021766995056865537,5,3.5,0.5258703937948852,0.006219141444818728,0.5258703937948852,0.006219141444818728,none
12288,aoi,1.7345022960412617,0.038107729789310284,5,3.5,0.49557208458321755,0.01088792279694579,0.49557208458321755,0.01088792279694579,none
13312,aoi,1.7456160551687507,0.04223927146484682,5,3.5,0.49874744433392876,0.012068363275670544,0.49874744433392876,0.012068363275670544,none
14336,aoi,1.7405786122728018,0.04313768095904157,5,3.5,0.4973081749350861,0.012325051702583308,0.4973081749350861,0.012325051702583308,none
15360,aoi,1.7975760474487814,0.027488027727258474,5,3.5,0.5135931564139374,0.007853722207788138,0.5135931564139374,0.007853722207788138,none
16384,aoi,1.7820864901808484,0.044998607992369745,5,3.5,0.5091675686230995,0.012856745140677072,0.5091675686230995,0.012856745140677072,none
17408,aoi,1.406945307613711,0.042807140337520054,5,3.5,0.4019843736039174,0.01223061152500572,0.4019843736039174,0.01223061152500572,none
18432,aoi,0.6077939350972933,0.0181162481930796,5,3.5,0.1736554100277981,0.0051760709123084515,0.1736554100277981,0.0051760709123084515,none
19456,aoi,1.8315186226109792,0.06025220565266858,5,3.5,0.5232910350317084,0.017214915900762438,0.5232910350317084,0.017214915900762438,none
20480,aoi,1.853277837596107,0.05786529260158434,5,3.5,0.5295079535988878,0.0165329407433098,0.5295079535988878,0.0165329407433098,none
21504,aoi,1.6744901434551978,0.043500228660125886,5,3.5,0.47842575527291364,0.012428636760035958,0.47842575527291364,0.012428636760035958,none
22528,aoi,1.8005703674291205,0.0331639357944377,5,3.5,0.5144486764083203,0.009475410226982216,0.5144486764083203,0.009475410226982216,none
23552,aoi,1.5982857366526588,0.03608719120587026,5,3.5,0.4566530676150454,0.010310626058820079,0.4566530676150454,0.010310626058820079,none
24576,aoi,1.3109627986600987,0.03386207854855285,5,3.5,0.3745607996171711,0.009674879585300826,0.3745607996171711,0.009674879585300826,none
25600,aoi,1.780709989826179,0.03847281771984071,5,3.5,0.5087742828074797,0.010992233634240215,0.5087742828074797,0.010992233634240215,none
26624,aoi,1.8319194359742919,0.036321275663781204,5,3.5,0.5234055531355121,0.010377507332508917,0.5234055531355121,0.010377507332508917,none
27648,aoi,1.6587767793091708,0.04638932860861524,5,3.5,0.4739362226597631,0.013254093888175784,0.4739362226597631,0.013254093888175784,none
28672,aoi,1.0208378522784582,0.0385384318104099,5,3.5,0.29166795779384513,0.011010980517259973,0.29166795779384513,0.011010980517259973,none
29696,aoi,1.746304098755988,0.05655053587383743,5,3.5,0.49894402821599665,0.01615729596395357,0.49894402821599665,0.01615729596395357,none
30720,aoi,1.8396636475951538,0.07296733076702144,5,3.5,0.5256181850271868,0.020847808790577554,0.5256181850271868,0.020847808790577554,none
31744,aoi,1.808512527385604,0.06454120107180816,5,3.5,0.5167178649673154,0.018440343163373767,0.5167178649673154,0.018440343163373767,none
32768,aoi,1.7782656987151904,0.08001070442234429,5,3.5,0.5080759139186258,0.022860201263526954,0.5080759139186258,0.022860201263526954,none
33792,aoi,1.758939927240893,0.03719113295849032,5,3.5,0.5025542649259693,0.010626037988140078,0.5025542649259693,0.010626037988140078,none
34816,aoi,1.7700076375902818,0.04217027744717957,5,3.5,0.5057164678829376,0.012048650699194155,0.5057164678829376,0.012048650699194155,none
35840,aoi,1.77056951564735,0.039593649840383105,5,3.5,0.5058770044706714,0.0113124713829666,0.5058770044706714,0.0113124713829666,none
36864,aoi,1.1050930856256653,0.02739153922902096,5,3.5,0.31574088160733293,0.007826154065434552,0.31574088160733293,0.007826154065434552,none
37888,aoi,0.8818793252174937,0.014616603907184725,5,3.5,0.2519655214907125,0.00417617254490992,0.2519655214907125,0.00417617254490992,none
38912,aoi,1.7396580064159182,0.06513924142926023,5,3.5,0.4970451446902623,0.018611211836931506,0.4970451446902623,0.018611211836931506,none
39936,aoi,1.7616551856206908,0.06097996938650783,5,3.5,0.5033300530344831,0.017422848396145118,0.5033300530344831,0.017422848396145118,none
40960,aoi,1.6674425834689977,0.04825663623469035,5,3.5,0.4764121667054278,0.013787610352768676,0.4764121667054278,0.013787610352768676,none
41984,aoi,1.7608932403609139,0.05764039248621272,5,3.5,0.5031123543888325,0.01646868356748934,0.5031123543888325,0.01646868356748934,none
43008,aoi,1.5968699536480007,0.04839966065949556,5,3.5,0.456248558185143,0.013828474474141591,0.456248558185143,0.013828474474141591,none
44032,aoi,1.2741487575411692,0.041884820612978255,5,3.5,0.3640425021546198,0.011967091603708069,0.3640425021546198,0.011967091603708069,none
45056,aoi,1.7967090215098338,0.09049662531350221,5,3.5,0.5133454347170953,0.025856178661000623,0.5133454347170953,0.025856178661000623,none
46080,aoi,1.720621206654247,0.06496719871689163,5,3.5,0.4916060590440705,0.018562056776254745,0.4916060590440705,0.018562056776254745,none
47104,aoi,1.3194337291110574,0.05496310981556774,5,3.5,0.37698106546030213,0.015703745661590777,0.37698106546030213,0.015703745661590777,none
48128,aoi,1.2566612079437904,0.051810495508012214,5,3.5,0.35904605941251155,0.014802998716574907,0.35904605941251155,0.014802998716574907,none
49152,aoi,1.7333852623976456,0.07414150630671265,5,3.5,0.49525293211361293,0.021183287516203624,0.49525293211361293,0.021183287516203624,none
50176,aoi,1.7610511050511923,0.09745670213144152,5,3.5,0.503157458586055,0.02784477203755471,0.503157458586055,0.02784477203755471,none
51200,aoi,1.7699691523815957,0.06460485189475088,5,3.5,0.5057054721090274,0.01845852911278597,0.5057054721090274,0.01845852911278597,none
52224,aoi,1.6602070486105842,0.09804850875752556,5,3.5,0.4743448710315955,0.028013859645007303,0.4743448710315955,0.028013859645007303,none
53248,aoi,1.7019168557457651,0.0451516296456379,5,3.5,0.48626195878450423,0.012900465613039399,0.48626195878450423,0.012900465613039399,none
54272,aoi,1.6618388951543188,0.036733262676123056,5,3.5,0.474811112901234,0.010495217907463737,0.474811112901234,0.010495217907463737,none
55296,aoi,1.695344889810282,0.05762053441415973,5,3.5,0.4843842542315092,0.016463009832617084,0.4843842542315092,0.016463009832617084,none
56320,aoi,0.8004056794777729,0.027093099459030313,5,3.5,0.22868733699364938,0.007740885559722944,0.22868733699364938,0.007740885559722944,none
57344,aoi,1.125997860310685,0.05882786118503736,5,3.5,0.32171367437448145,0.016807960338582093,0.32171367437448145,0.016807960338582093,none
58368,aoi,1.6805507599088922,0.05951986096132512,5,3.5,0.4801573599739692,0.017005674560378627,0.4801573599739692,0.017005674560378627,none
59392,aoi,1.6263920793407678,0.05222290170112025,5,3.5,0.46468345124021937,0.014920829057462935,0.46468345124021937,0.014920829057462935,none
