delta_threshold,heartbeat,configuration,tx_reduction,mae,recall,precision,f1,aoi,mae_violation,event_violation,aoi_violation,total_violation,pareto_efficient,all_constraints_satisfied
25.0,3.0,"delta_ppm=25,heartbeat=3",0.7282692261199624,9.224011897727348,0.9903147699757868,0.9500580720092916,0.9697688203912268,1.4430765044316591,0.02489021085859422,0.0,0.0,0.02489021085859417,True,False
25.0,4.0,"delta_ppm=25,heartbeat=4",0.7763411744796074,9.647045634315113,0.9878934624697336,0.9315068493150684,0.9588719153936546,1.9077048670502248,0.07189395936834586,0.0,0.0,0.07189395936834586,True,False
25.0,5.0,"delta_ppm=25,heartbeat=5",0.8082634238328941,10.056430626761026,0.9891041162227604,0.9315849486887116,0.9594832648267764,2.372364329031255,0.11738118075122506,0.0,0.0,0.11738118075122511,True,False
25.0,6.0,"delta_ppm=25,heartbeat=6",0.831148611077533,10.492885150150672,0.9878934624697336,0.9209932279909706,0.9532710280373832,2.831507541595397,0.1658761277945191,0.0,0.0,0.16587612779451907,True,False
50.0,3.0,"delta_ppm=50,heartbeat=3",0.7463481855764814,10.087777605016974,0.9757869249394672,0.9169510807736064,0.9454545454545454,1.4920230135282226,0.12086417833521934,0.614205004035522,0.0,0.7350691823707405,False,False
50.0,4.0,"delta_ppm=50,heartbeat=4",0.7960592800328796,10.597107576061276,0.9661016949152542,0.9016949152542372,0.9327878433664524,1.9891851967034675,0.17745639734014174,1.259887005649719,0.0,1.4373434029898597,False,False
50.0,5.0,"delta_ppm=50,heartbeat=5",0.8291903391920316,11.132871496130948,0.9636803874092008,0.8834628190899001,0.9218297625940938,2.4793266988026748,0.23698572179232746,1.4213075060532794,0.0,1.658293227845606,False,False
50.0,6.0,"delta_ppm=50,heartbeat=6",0.8527572951671785,11.60276248419453,0.9576271186440678,0.904,0.9300411522633746,2.9730446275851343,0.2891958315771701,1.824858757062147,0.0,2.114054588639316,True,False
75.0,3.0,"delta_ppm=75,heartbeat=3",0.7483306336581002,10.393316361474742,0.9721549636803876,0.9125,0.9413833528722158,1.4975509252060333,0.15481292905274913,0.8563357546408292,0.0,1.0111486836935775,False,False
75.0,4.0,"delta_ppm=75,heartbeat=4",0.7982206319657665,10.977962734123237,0.9648910411622276,0.8895089285714286,0.9256678281068524,1.996003731923496,0.21977363712480402,1.3405972558514954,0.0,1.5603708929762985,False,False
75.0,5.0,"delta_ppm=75,heartbeat=5",0.8314483959093877,11.520609923468797,0.9588377723970944,0.8761061946902655,0.915606936416185,2.489332918675167,0.28006776927431076,1.7441485068603706,0.0,2.0242162761346805,True,False
75.0,6.0,"delta_ppm=75,heartbeat=6",0.8551942557358025,12.06444955814256,0.9309927360774818,0.860178970917226,0.8941860465116279,2.988466023946509,0.34049439534917325,3.6004842615012143,0.0,3.940978656850387,True,False
100.0,3.0,"delta_ppm=100,heartbeat=3",0.749094601455407,10.569679326637576,0.9782082324455206,0.8869374313940724,0.9303396660909614,1.4979513294977451,0.17440881407084174,0.45278450363196177,0.0,0.6271933177028026,False,False
100.0,4.0,"delta_ppm=100,heartbeat=4",0.7989845997630733,11.17594195180402,0.9661016949152542,0.8778877887788779,0.919884726224784,1.9996928937956773,0.24177132797822454,1.259887005649719,0.0,1.5016583336279425,False,False
100.0,5.0,"delta_ppm=100,heartbeat=5",0.8323042332519401,11.738771763694352,0.946731234866828,0.8593406593406593,0.900921658986175,2.49197247706422,0.3043079737438168,2.5512510088781353,0.0,2.855558982621951,False,False
100.0,6.0,"delta_ppm=100,heartbeat=6",0.8560597635568019,12.32960360584255,0.9200968523002422,0.8360836083608361,0.8760806916426512,2.993597418752916,0.3699559562047279,4.326876513317188,0.0,4.696832469521915,True,False
