figure,quantity,value,note,source
fig_revision_contextual_relations,n_edges,23.0,,
fig_revision_mae_vs_reduction,fixed_15,,tx↓=0.000%,
fig_revision_mae_vs_reduction,fixed_30,9.659978124304285,tx↓=49.953%,
fig_revision_mae_vs_reduction,fixed_45,10.474124931125482,tx↓=66.693%,
fig_revision_mae_vs_reduction,fixed_60,11.335269101794868,tx↓=75.268%,
fig_revision_mae_vs_reduction,fixed_75,11.755109070034443,tx↓=80.018%,
fig_revision_mae_vs_reduction,fixed_90,12.517337989280492,tx↓=83.358%,
fig_revision_mae_vs_reduction,semantic_expert,7.218922792024657,tx↓=73.893%,
fig_revision_mae_vs_reduction,campus_senserl_bc,9.204679195085538,tx↓=79.759% n=1,
fig_revision_mae_vs_reduction,cmappo_kl,8.742403611902981,tx↓=77.790% n=5,
fig_revision_recall_vs_reduction,semantic_expert,0.9987893462469734,,
fig_revision_recall_vs_reduction,campus_senserl_bc,0.9929782082324456,,
fig_revision_recall_vs_reduction,cmappo_kl,0.9944309927360774,,
fig_revision_unseen_comparison,fixed_15_mae,,n=1,
fig_revision_unseen_comparison,fixed_15_recall,1.0,,
fig_revision_unseen_comparison,fixed_15_tx↓,0.0,,
fig_revision_unseen_comparison,fixed_30_mae,11.635226206386667,n=1,
fig_revision_unseen_comparison,fixed_30_recall,0.8627132412672623,,
fig_revision_unseen_comparison,fixed_30_tx↓,49.87660974641176,,
fig_revision_unseen_comparison,fixed_45_mae,13.423398407616242,n=1,
fig_revision_unseen_comparison,fixed_45_recall,0.7831031681559708,,
fig_revision_unseen_comparison,fixed_45_tx↓,66.74041716306424,,
fig_revision_unseen_comparison,fixed_60_mae,14.769178957440246,n=1,
fig_revision_unseen_comparison,fixed_60_recall,0.743298131600325,,
fig_revision_unseen_comparison,fixed_60_tx↓,75.1021160719351,,
fig_revision_unseen_comparison,fixed_75_mae,15.642808150329348,n=1,
fig_revision_unseen_comparison,fixed_75_recall,0.6913078797725426,,
fig_revision_unseen_comparison,fixed_75_tx↓,79.9540477676292,,
fig_revision_unseen_comparison,fixed_90_mae,16.624898586738833,n=1,
fig_revision_unseen_comparison,fixed_90_recall,0.7018683996750609,,
fig_revision_unseen_comparison,fixed_90_tx↓,83.32813297781811,,
fig_revision_unseen_comparison,delta_plus_heartbeat_mae,9.440991933074397,n=1,
fig_revision_unseen_comparison,delta_plus_heartbeat_recall,0.9878147847278635,,
fig_revision_unseen_comparison,delta_plus_heartbeat_tx↓,72.78701234848054,,
fig_revision_unseen_comparison,semantic_expert_mae,7.230393528528911,n=1,
fig_revision_unseen_comparison,semantic_expert_recall,0.9983753046303818,,
fig_revision_unseen_comparison,semantic_expert_tx↓,74.33860933038332,,
fig_revision_unseen_comparison,campus_senserl_bc_mae,8.958774368220675,n=5,
fig_revision_unseen_comparison,campus_senserl_bc_recall,0.9949634443541836,,
fig_revision_unseen_comparison,campus_senserl_bc_tx↓,79.72126094438457,,
fig_revision_unseen_comparison,cmappo_kl_mae,8.49505339274015,n=5,
fig_revision_unseen_comparison,cmappo_kl_recall,0.99642567018684,,
fig_revision_unseen_comparison,cmappo_kl_tx↓,77.82606229080386,,
fig_revision_packet_loss_comparison,fixed_60_mae_pl0,11.335269101794868,,
fig_revision_packet_loss_comparison,fixed_60_mae_pl10,11.908717304667343,,
fig_revision_packet_loss_comparison,fixed_60_mae_pl20,12.639124332074289,,
fig_revision_packet_loss_comparison,fixed_60_mae_pl40,14.381870469318994,,
fig_revision_packet_loss_comparison,fixed_75_mae_pl0,11.755109070034443,,
fig_revision_packet_loss_comparison,fixed_75_mae_pl10,12.387919502637084,,
fig_revision_packet_loss_comparison,fixed_75_mae_pl20,13.179482904336728,,
fig_revision_packet_loss_comparison,fixed_75_mae_pl40,14.855315620091606,,
fig_revision_packet_loss_comparison,delta_plus_heartbeat_mae_pl0,9.224011897727348,,
fig_revision_packet_loss_comparison,delta_plus_heartbeat_mae_pl10,9.493994535125251,,
fig_revision_packet_loss_comparison,delta_plus_heartbeat_mae_pl20,9.790115959817824,,
fig_revision_packet_loss_comparison,delta_plus_heartbeat_mae_pl40,10.542528218959143,,
fig_revision_packet_loss_comparison,semantic_expert_mae_pl0,7.218922792024657,,
fig_revision_packet_loss_comparison,semantic_expert_mae_pl10,7.613645447864151,,
fig_revision_packet_loss_comparison,semantic_expert_mae_pl20,8.039677146903239,,
fig_revision_packet_loss_comparison,semantic_expert_mae_pl40,9.06448011679047,,
fig_revision_packet_loss_comparison,cmappo_kl_mae_pl0,8.742403611902981,,
fig_revision_packet_loss_comparison,cmappo_kl_mae_pl10,8.992205337461705,,
fig_revision_packet_loss_comparison,cmappo_kl_mae_pl20,9.27321520011237,,
fig_revision_packet_loss_comparison,cmappo_kl_mae_pl40,9.95709943052446,,
