metric,scenario,method,previous_value,rerun_value,absolute_difference,tolerance,match
transmission_reduction_mean,validation,fixed_15,0.0,0.0,0.0,1e-08,True
mae_mean,validation,fixed_15,,,0.0,1e-06,True
recall_mean,validation,fixed_15,1.0,1.0,0.0,1e-08,True
precision_mean,validation,fixed_15,1.0,1.0,0.0,1e-08,True
f1_mean,validation,fixed_15,1.0,1.0,0.0,1e-08,True
aoi_raw_mean,validation,fixed_15,0.0010884776862074,0.0010884776862074,0.0,1e-06,True
n_true_events_mean,validation,fixed_15,826.0,826.0,0.0,1e-06,True
event_tp_mean,validation,fixed_15,826.0,826.0,0.0,1e-06,True
event_fn_mean,validation,fixed_15,0.0,0.0,0.0,1e-06,True
event_fp_mean,validation,fixed_15,0.0,0.0,0.0,1e-06,True
all_constraints_satisfied_kn,validation,fixed_15,,,0.0,0.0,True
mae_pass_count,validation,fixed_15,0,0,0.0,0.0,True
event_pass_count,validation,fixed_15,1,1,0.0,0.0,True
aoi_pass_count,validation,fixed_15,1,1,0.0,0.0,True
all_constraints_pass_count,validation,fixed_15,0,0,0.0,0.0,True
n_runs,validation,fixed_15,1,1,0.0,0.0,True
result_source,validation,fixed_15,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,validation,fixed_30,0.499533399414936,0.499533399414936,0.0,1e-08,True
mae_mean,validation,fixed_30,9.659978124304285,9.659978124304285,0.0,1e-06,True
recall_mean,validation,fixed_30,0.9309927360774818,0.9309927360774818,0.0,1e-08,True
precision_mean,validation,fixed_30,0.9025821596244132,0.9025821596244132,0.0,1e-08,True
f1_mean,validation,fixed_30,0.9165673420738976,0.9165673420738976,0.0,1e-08,True
aoi_raw_mean,validation,fixed_30,0.6013878090499145,0.6013878090499145,0.0,1e-06,True
n_true_events_mean,validation,fixed_30,826.0,826.0,0.0,1e-06,True
event_tp_mean,validation,fixed_30,769.0,769.0,0.0,1e-06,True
event_fn_mean,validation,fixed_30,57.0,57.0,0.0,1e-06,True
event_fp_mean,validation,fixed_30,83.0,83.0,0.0,1e-06,True
all_constraints_satisfied_kn,validation,fixed_30,0/1,0/1,0.0,0.0,True
mae_pass_count,validation,fixed_30,0,0,0.0,0.0,True
event_pass_count,validation,fixed_30,0,0,0.0,0.0,True
aoi_pass_count,validation,fixed_30,1,1,0.0,0.0,True
all_constraints_pass_count,validation,fixed_30,0,0,0.0,0.0,True
n_runs,validation,fixed_30,1,1,0.0,0.0,True
result_source,validation,fixed_30,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,validation,fixed_45,0.6669342165703649,0.6669342165703649,0.0,1e-08,True
mae_mean,validation,fixed_45,10.474124931125482,10.474124931125482,0.0,1e-06,True
recall_mean,validation,fixed_45,0.9055690072639224,0.9055690072639224,0.0,1e-08,True
precision_mean,validation,fixed_45,0.8577981651376146,0.8577981651376146,0.0,1e-08,True
f1_mean,validation,fixed_45,0.8810365135453475,0.8810365135453475,0.0,1e-08,True
aoi_raw_mean,validation,fixed_45,1.201675478152698,1.201675478152698,0.0,1e-06,True
n_true_events_mean,validation,fixed_45,826.0,826.0,0.0,1e-06,True
event_tp_mean,validation,fixed_45,748.0,748.0,0.0,1e-06,True
event_fn_mean,validation,fixed_45,78.0,78.0,0.0,1e-06,True
event_fp_mean,validation,fixed_45,124.0,124.0,0.0,1e-06,True
all_constraints_satisfied_kn,validation,fixed_45,0/1,0/1,0.0,0.0,True
mae_pass_count,validation,fixed_45,0,0,0.0,0.0,True
event_pass_count,validation,fixed_45,0,0,0.0,0.0,True
aoi_pass_count,validation,fixed_45,1,1,0.0,0.0,True
all_constraints_pass_count,validation,fixed_45,0,0,0.0,0.0,True
n_runs,validation,fixed_45,1,1,0.0,0.0,True
result_source,validation,fixed_45,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,validation,fixed_60,0.7526823489592147,0.7526823489592147,0.0,1e-08,True
mae_mean,validation,fixed_60,11.335269101794868,11.335269101794868,0.0,1e-06,True
recall_mean,validation,fixed_60,0.887409200968523,0.887409200968523,0.0,1e-08,True
precision_mean,validation,fixed_60,0.8563084112149533,0.8563084112149533,0.0,1e-08,True
f1_mean,validation,fixed_60,0.8715814506539834,0.8715814506539834,0.0,1e-08,True
aoi_raw_mean,validation,fixed_60,1.88528611413466,1.88528611413466,0.0,1e-06,True
n_true_events_mean,validation,fixed_60,826.0,826.0,0.0,1e-06,True
event_tp_mean,validation,fixed_60,733.0,733.0,0.0,1e-06,True
event_fn_mean,validation,fixed_60,93.0,93.0,0.0,1e-06,True
event_fp_mean,validation,fixed_60,123.0,123.0,0.0,1e-06,True
all_constraints_satisfied_kn,validation,fixed_60,0/1,0/1,0.0,0.0,True
mae_pass_count,validation,fixed_60,0,0,0.0,0.0,True
event_pass_count,validation,fixed_60,0,0,0.0,0.0,True
aoi_pass_count,validation,fixed_60,1,1,0.0,0.0,True
all_constraints_pass_count,validation,fixed_60,0,0,0.0,0.0,True
n_runs,validation,fixed_60,1,1,0.0,0.0,True
result_source,validation,fixed_60,new_evaluation,new_evaluation,0.0,0.0,True
transmission_reduction_mean,validation,fixed_75,0.8001837390904916,0.8001837390904916,0.0,1e-08,True
