method,display_name,cohort,split,scenario,tx_reduction,mae,recall,precision,f1,aoi,mean,sd,tx_reduction_sd,mae_sd,recall_sd,precision_sd,f1_sd,aoi_sd,n_runs,source,result_source,configuration
fixed_60,Fixed-60,development,test,frozen_temporal_test,0.7513860161127325,10.550982955402484,0.2647058823529412,0.3,0.28125,1.7559633027522936,10.550982955402484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,revision_eval,new_evaluation,interval_steps=4 (60 min)
fixed_60,Fixed-60,heldout,test,heldout_sensors,0.751021160719351,14.769178957440246,0.743298131600325,0.7780612244897959,0.7602825093477358,1.760087855698958,14.769178957440246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,revision_eval,new_evaluation,interval_steps=4 (60 min)
fixed_75,Fixed-75,development,test,frozen_temporal_test,0.7999792215642384,10.849440974722848,0.2549019607843137,0.2653061224489796,0.2599999999999999,2.162770175711398,10.849440974722848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,revision_eval,new_evaluation,interval_steps=5 (75 min)
fixed_75,Fixed-75,heldout,test,heldout_sensors,0.799540477676292,15.642808150329348,0.6913078797725426,0.7419354838709677,0.7157275021026072,2.20323433369616,15.642808150329348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,revision_eval,new_evaluation,interval_steps=5 (75 min)
delta_plus_heartbeat,Delta + heartbeat,development,test,frozen_temporal_test,0.7279630521633185,8.790012455238985,0.9607843137254902,0.8099173553719008,0.8789237668161435,1.4026162338672057,8.790012455238985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,revision_eval,new_evaluation,"delta_ppm=25,heartbeat=3"
delta_plus_heartbeat,Delta + heartbeat,heldout,test,heldout_sensors,0.7278701234848055,9.440991933074397,0.9878147847278635,0.9559748427672956,0.9716340391530164,1.4438345513916964,9.440991933074397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,revision_eval,new_evaluation,"delta_ppm=25,heartbeat=3"
semantic_expert,Semantic expert,development,test,frozen_temporal_test,0.7445574665419961,7.216203874012153,0.9803921568627452,0.9345794392523364,0.9569377990430622,1.7669841393251438,7.216203874012153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,revision_eval,new_evaluation,frozen_expert_thresholds
semantic_expert,Semantic expert,heldout,test,heldout_sensors,0.7433860933038332,7.230393528528911,0.9983753046303818,0.9927302100161552,0.9955447549615228,1.773099051469445,7.230393528528911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,revision_eval,new_evaluation,frozen_expert_thresholds
campus_senserl_bc,BC initialization,development,test,frozen_temporal_test,0.802301683997771,9.004188944374237,0.9254901960784314,0.8806468256300736,0.9025008325008326,2.129224070906546,9.004188944374237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,legacy_frozen_summary,legacy_frozen,tau=0.5 (legacy mean of 5)
campus_senserl_bc,BC initialization,heldout,test,heldout_sensors,0.7972126094438456,8.958774368220675,0.9949634443541837,0.972848892691794,0.9837786638591082,2.1262976208987716,8.958774368220675,0.047804252458801634,0.0012762083679865187,0.047804252458801634,0.00036329292891958907,0.004119653275361382,0.002198781880873,0.022404174798524457,5,legacy_frozen_csv,legacy_frozen,tau=0.5
cmappo_kl,CAMPUS-SenseRL (KL-CMAPPO),development,test,frozen_temporal_test,0.7823439964487764,8.612843442936295,0.9529411764705882,0.9137775596384017,0.93286098544907,1.945431503654175,8.612843442936295,0.1088610925793988,0.007119442252383993,0.1088610925793988,0.00820254927974589,0.01507415371375462,0.007098792111819172,0.07263707288196321,5,revision_eval,new_evaluation,tau=0.5
cmappo_kl,CAMPUS-SenseRL (KL-CMAPPO),heldout,test,heldout_sensors,0.7782606229080387,8.49505339274015,0.99642567018684,0.9912892434877696,0.9938459908907176,1.9352550147721974,8.49505339274015,0.1300450088477589,0.00702537249635386,0.1300450088477589,0.0007265858578391223,0.004389201498198368,0.0019961578133845374,0.0858421496047424,5,revision_eval,new_evaluation,tau=0.5
