method,configuration,scenario,split,packet_loss,loss_mask_id,prob_threshold,seconds,stage
fixed_15,interval_steps=1 (15 min),validation_cohort,val,0.0,,,14.509142499999143,
fixed_30,interval_steps=2 (30 min),validation_cohort,val,0.0,,,14.19698100000096,
fixed_45,interval_steps=3 (45 min),validation_cohort,val,0.0,,,13.619415199995274,
fixed_60,interval_steps=4 (60 min),validation_cohort,val,0.0,,,13.816704200013191,
fixed_75,interval_steps=5 (75 min),validation_cohort,val,0.0,,,12.943596700002672,
fixed_90,interval_steps=6 (90 min),validation_cohort,val,0.0,,,14.887658100007684,
semantic_expert,frozen_expert_thresholds,validation_cohort,val,0.0,,,14.231328399997437,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=3",validation_cohort,val,0.0,,,12.697344099986367,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=4",validation_cohort,val,0.0,,,11.001648199991905,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=5",validation_cohort,val,0.0,,,11.016409499992733,
delta_plus_heartbeat,"delta_ppm=25,heartbeat=6",validation_cohort,val,0.0,,,11.072378500000923,
delta_plus_heartbeat,"delta_ppm=50,heartbeat=3",validation_cohort,val,0.0,,,11.077751700009685,
delta_plus_heartbeat,"delta_ppm=50,heartbeat=4",validation_cohort,val,0.0,,,11.055015300007653,
delta_plus_heartbeat,"delta_ppm=50,heartbeat=5",validation_cohort,val,0.0,,,11.258625900009065,
delta_plus_heartbeat,"delta_ppm=50,heartbeat=6",validation_cohort,val,0.0,,,10.785909800004447,
delta_plus_heartbeat,"delta_ppm=75,heartbeat=3",validation_cohort,val,0.0,,,11.051614700001664,
delta_plus_heartbeat,"delta_ppm=75,heartbeat=4",validation_cohort,val,0.0,,,10.788076299999375,
delta_plus_heartbeat,"delta_ppm=75,heartbeat=5",validation_cohort,val,0.0,,,11.08329359999334,
delta_plus_heartbeat,"delta_ppm=75,heartbeat=6",validation_cohort,val,0.0,,,10.93575740000233,
delta_plus_heartbeat,"delta_ppm=100,heartbeat=3",validation_cohort,val,0.0,,,10.680332000003546,
delta_plus_heartbeat,"delta_ppm=100,heartbeat=4",validation_cohort,val,0.0,,,10.667327499992098,
delta_plus_heartbeat,"delta_ppm=100,heartbeat=5",validation_cohort,val,0.0,,,11.235420699988026,
delta_plus_heartbeat,"delta_ppm=100,heartbeat=6",validation_cohort,val,0.0,,,11.058801100007258,
,,,,,,,277.0405461000046,val_baselines
cmappo_kl,tau=0.5,validation_cohort,val,0.0,,,21.8006774999958,
cmappo_kl,tau=0.5,validation_cohort,val,0.0,,,21.732627699995646,
cmappo_kl,tau=0.5,validation_cohort,val,0.0,,,21.25907179999922,
cmappo_kl,tau=0.5,validation_cohort,val,0.0,,,21.53897140000481,
cmappo_kl,tau=0.5,validation_cohort,val,0.0,,,22.798589300000458,
,,,,,,,109.60597390000476,val_kl
